subject,sessions,std_crest_curv
CC00735XX18,222201,0.16943068467571684
CC00672AN13,197601,0.17891288961802992
CC00672BN13,200000,0.15946174392598453
CC00621XX11,177900,0.1551797419934113
CC00829XX21,17610,0.17157572826539044
CC00617XX15,176500,0.17127448620208643
CC00712XX11,221400,0.16077437503278344
CC00385XX15,118500,0.17415489503769557
CC00063AN06,15102,0.17408754797369538
CC00492AN15,140900,0.1639937791537562
CC00100XX01,35000,0.18204269127721684
CC00777XX19,239102,0.171114457589249
CC00839XX23,23710,0.1692084232008033
KKI2009_113,MR1,0.24812828204420606
KKI2009_142,MR1,0.23750181718535981
KKI2009_505,MR1,0.25569522274985496
