,curv,sulc,dpf003,0,1,5,10,50,100,150,200,250,300,400,500,600,700,800,900,1000,2000
curv,-,***,,***,***,***,***,***,**,,,,,*,**,***,***,***,***,***,***
sulc,3.931,-,*,***,***,***,***,,,*,**,***,***,***,***,***,***,***,***,***,***
dpf003,0.937,-2.094,-,***,***,***,***,***,,,,,,*,*,**,**,**,**,***,***
0,31.607,12.485,14.592,-,,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1,32.55,12.058,14.208,-1.013,-,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
5,31.319,10.191,12.452,-4.575,-3.685,-,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***
10,23.654,8.211,10.495,-6.751,-6.017,-2.825,-,***,***,***,***,***,***,***,***,***,***,***,***,***,***
50,6.712,1.473,3.67,-12.101,-11.641,-9.547,-7.295,-,*,***,***,***,***,***,***,***,***,***,***,***,***
100,3.361,-0.919,1.392,-15.788,-15.408,-13.361,-10.834,-2.642,-,,*,**,**,***,***,***,***,***,***,***,***
150,1.653,-2.142,0.253,-18.027,-17.704,-15.669,-12.905,-4.026,-1.355,-,,,*,**,***,***,***,***,***,***,***
200,0.411,-3.0,-0.538,-19.732,-19.46,-17.44,-14.466,-5.01,-2.312,-0.955,-,,,*,*,**,**,***,***,***,***
250,-0.572,-3.667,-1.137,-21.321,-21.106,-19.097,-15.879,-5.799,-3.062,-1.694,-0.732,-,,,,*,*,**,**,**,***
300,-1.319,-4.147,-1.566,-22.54,-22.376,-20.382,-16.958,-6.373,-3.607,-2.232,-1.264,-0.533,-,,,,*,*,*,**,**
400,-2.595,-4.914,-2.239,-24.737,-24.682,-22.733,-18.883,-7.311,-4.489,-3.097,-2.119,-1.387,-0.853,-,,,,,,,*
500,-3.578,-5.445,-2.695,-26.53,-26.585,-24.697,-20.434,-7.981,-5.11,-3.704,-2.716,-1.982,-1.446,-0.591,-,,,,,,
600,-4.306,-5.8,-2.995,-27.884,-28.035,-26.21,-21.598,-8.44,-5.532,-4.115,-3.119,-2.383,-1.846,-0.988,-0.398,-,,,,,
700,-4.97,-6.097,-3.244,-29.07,-29.316,-27.562,-22.62,-8.826,-5.889,-4.463,-3.461,-2.725,-2.187,-1.33,-0.741,-0.345,-,,,,
800,-5.533,-6.33,-3.442,-30.025,-30.353,-28.668,-23.445,-9.131,-6.172,-4.74,-3.735,-3.001,-2.463,-1.608,-1.022,-0.628,-0.284,-,,,
900,-5.889,-6.478,-3.57,-30.543,-30.916,-29.272,-23.902,-9.317,-6.35,-4.917,-3.912,-3.181,-2.645,-1.794,-1.212,-0.822,-0.481,-0.199,-,,
1000,-6.222,-6.6,-3.672,-31.114,-31.542,-29.948,-24.392,-9.481,-6.5,-5.064,-4.057,-3.325,-2.79,-1.94,-1.359,-0.97,-0.63,-0.347,-0.147,-,
2000,-8.021,-7.139,-4.104,-34.112,-34.884,-33.636,-26.952,-10.231,-7.179,-5.723,-4.702,-3.971,-3.434,-2.586,-2.011,-1.627,-1.288,-1.004,-0.797,-0.649,-
