subject,sessions,diff_fundicrest_sulc
CC00735XX18,222201,0.48869556127899716
CC00672AN13,197601,0.4266594330402072
CC00672BN13,200000,0.43560748728871523
CC00621XX11,177900,0.5402002038570293
CC00829XX21,17610,0.6881498293310612
CC00617XX15,176500,0.6143487712847898
CC00712XX11,221400,0.6314590358585633
CC00385XX15,118500,0.6694749434721236
CC00063AN06,15102,0.6769597386297322
CC00492AN15,140900,0.6559659550858261
CC00100XX01,35000,0.704395654543012
CC00777XX19,239102,0.8204958218798877
CC00839XX23,23710,0.781244484499269
KKI2009_113,MR1,0.8037097504503281
KKI2009_142,MR1,0.7539035835342232
KKI2009_505,MR1,0.7977553456199691
