subject,sessions,std_crest_sulc
CC00735XX18,222201,0.17078904584086668
CC00672AN13,197601,0.17293777304367444
CC00672BN13,200000,0.1739989772015558
CC00621XX11,177900,0.15900343367492892
CC00829XX21,17610,0.16633227060489797
CC00617XX15,176500,0.1591993508713549
CC00712XX11,221400,0.1547741398038666
CC00385XX15,118500,0.13878443057455261
CC00063AN06,15102,0.16422389859968609
CC00492AN15,140900,0.15384144694546678
CC00100XX01,35000,0.1360632269415246
CC00777XX19,239102,0.11981112508211778
CC00839XX23,23710,0.10746569204986614
KKI2009_113,MR1,0.12919235573058083
KKI2009_142,MR1,0.15000663034561915
KKI2009_505,MR1,0.13503839855459715
