Week,Hemi,ROI,Label,Sulc_Mean_abs,Sulc_Mean,Sulc_Median,Sulc_Min,Sulc_5p
44,right,Sillon_Central,2,4.542016,-4.3871193,-4.4163795,-9.369592,-8.200850105285644
44,right,Sillon_Temporal_superieur,3,4.0901875,-3.7011921,-3.8012817,-8.904424,-7.939187335968017
44,right,S.Pe.C.inf.,4,4.27069,-3.811697,-3.896749,-9.362986,-8.523328304290771
44,right,S.Pe.C.sup.,5,2.8070014,-2.3644633,-1.9527289,-8.020374,-7.132095575332642
44,right,S.Po.C.,6,3.3247876,-3.1618085,-3.202256,-8.022331,-7.333981370925903
44,right,Fissure_Intra_Parietale,7,2.7552748,-2.5593863,-2.492725,-6.3080797,-5.8585127830505375
44,right,Sillon_Frontal_superieur,8,3.1283543,-2.9010184,-3.0649345,-7.1659365,-5.899102663993835
44,right,Sillon_Frontal_inferieur,9,2.4239008,-1.0184301,-1.4502417,-6.454061,-4.77882981300354
44,right,S.T.i.,10,1.6136309,0.9941517,0.6080063,-2.285547,-1.5505774199962616
44,right,F.C.M.,11,4.3632045,-4.236393,-4.6049986,-8.888087,-7.834534072875977
44,right,Fissure_Calcarine.,12,4.501461,-4.501461,-4.2573175,-9.711494,-8.62486023902893
44,right,S.F.int.,13,1.1989346,0.048981402,0.0022253538,-4.087601,-2.094139206409454
44,right,S.R.inf,14,0.80352724,-0.5830219,-0.5134504,-2.3099668,-2.070715939998627
44,right,F.Coll.,15,3.7795846,-3.7141995,-3.7118442,-7.7152467,-7.236585330963135
44,right,S.S.p.,16,2.267046,-1.9495512,-1.9665443,-5.546919,-4.967620134353638
44,right,S.Call.,17,0.99930733,-0.7939646,-0.8942877,-3.1805236,-2.2296286821365356
44,right,Fissure_Parieto_Occipitale,18,3.3504431,-2.2924774,-2.5184875,-7.5930347,-7.14404513835907
44,right,Sillon_Olfactif,19,1.6347991,-0.35132968,-0.19871345,-3.7558877,-3.321208357810974
44,right,S.Or.,20,2.4544427,-2.1562815,-1.9284592,-6.3100395,-5.825430965423584
44,right,S.O.T.Lat.,21,2.3733742,-2.1967497,-2.1656585,-6.090089,-5.372238445281982
44,right,S.C.LPC.,22,2.0041149,2.0041149,1.968982,0.09595312,0.3424641370773316
44,right,S.F.int.,23,1.7069982,-1.4805901,-1.2287587,-5.041472,-4.51363730430603
44,right,S.F.marginal,24,2.0381033,-0.24605551,-0.6891922,-4.267551,-3.602475714683533
44,right,S.F.Orbitaire,25,4.7506747,4.7506747,4.803643,3.790277,3.8895724773406983
44,right,S.Rh.,26,1.2806469,1.2806469,1.2520584,0.071128,0.21041909977793694
44,right,F.I.P.sup.,27,2.6101973,-2.3802943,-2.5136592,-6.4382367,-5.508437538146973
44,right,S.Pa.sup.,28,2.0963006,2.0963006,1.938256,0.53464496,0.648116159439087
